vin,county,zip,model
7TYFXACP9NF000003,NEW YORK,10019,[]
7TYFLABC5NF000266,NEW YORK,10033,[]
7TYFLABC4NF000131,NEW YORK,10002,[]
7TYFLABC3NF000069,NEW YORK,10026,[]
7TYFEADE1NF000005,NEW YORK,10009,[]
7SXG6AEA3N5506580,NEW YORK,10031,[]
7SXG6AEA2N5505498,NEW YORK,10028,[]
7SXG2AEA3N5024879,NEW YORK,10003,[]
7SAYGDEF9PF700553,NEW YORK,10001,['Model X']
7SAYGDEF9PF673533,NEW YORK,10021,['Model X']
7SAYGDEF9NF546519,NEW YORK,10023,['Model X']
7SAYGDEF9NF530434,NEW YORK,10023,['Model X']
7SAYGDEF9NF513598,NEW YORK,10002,['Model X']
7SAYGDEF9NF511933,NEW YORK,10022,['Model X']
7SAYGDEF9NF460286,NEW YORK,10011,['Model X']
7SAYGDEF9NF452267,NEW YORK,10028,['Model X']
7SAYGDEF9NF443892,NEW YORK,10002,['Model X']
7SAYGDEF9NF437140,NEW YORK,10024,['Model X']
7SAYGDEF9NF379708,NEW YORK,10032,['Model X']
7SAYGDEF9NF376176,NEW YORK,10002,['Model X']
7SAYGDEF9NF362195,NEW YORK,10016,['Model X']
7SAYGDEF9NF326491,NEW YORK,10025,['Model X']
7SAYGDEF9NF319928,NEW YORK,10128,['Model X']
7SAYGDEF8NF533499,NEW YORK,10044,['Model X']
7SAYGDEF8NF519313,NEW YORK,10013,['Model X']
7SAYGDEF8NF464037,NEW YORK,10002,['Model X']
7SAYGDEF8NF461994,NEW YORK,11030,['Model X']
7SAYGDEF8NF452499,NEW YORK,10003,['Model X']
7SAYGDEF8NF415033,NEW YORK,10282,['Model X']
7SAYGDEF8NF392837,NEW YORK,10019,['Model X']
7SAYGDEF8NF318222,NEW YORK,10016,['Model X']
7SAYGDEF8NF310508,NEW YORK,11010,['Model X']
7SAYGDEF8NF309083,NEW YORK,10030,['Model X']
7SAYGDEF7PF692436,NEW YORK,10023,['Model X']
7SAYGDEF7PF602590,NEW YORK,10007,['Model X']
7SAYGDEF7NF513986,NEW YORK,10069,['Model X']
7SAYGDEF7NF508545,NEW YORK,10025,['Model X']
7SAYGDEF7NF507301,NEW YORK,10024,['Model X']
7SAYGDEF7NF494582,NEW YORK,10065,['Model X']
7SAYGDEF7NF464272,NEW YORK,10013,['Model X']
7SAYGDEF7NF452560,NEW YORK,10027,['Model X']
7SAYGDEF7NF452235,NEW YORK,10002,['Model X']
7SAYGDEF7NF372997,NEW YORK,10040,['Model X']
7SAYGDEF7NF342804,NEW YORK,10036,['Model X']
7SAYGDEF7NF312783,NEW YORK,10014,['Model X']
7SAYGDEF7NF308751,NEW YORK,10029,['Model X']
7SAYGDEF6PF646712,NEW YORK,10025,['Model X']
7SAYGDEF6PF613533,NEW YORK,10002,['Model X']
7SAYGDEF6NF565593,NEW YORK,10014,['Model X']
7SAYGDEF6NF564248,NEW YORK,10019,['Model X']
7SAYGDEF6NF542783,NEW YORK,10065,['Model X']
7SAYGDEF6NF520492,NEW YORK,10028,['Model X']
7SAYGDEF6NF514627,NEW YORK,10026,['Model X']
7SAYGDEF6NF513977,NEW YORK,11415,['Model X']
7SAYGDEF6NF509959,NEW YORK,10016,['Model X']
7SAYGDEF6NF374515,NEW YORK,10075,['Model X']
7SAYGDEF5NF573586,NEW YORK,10026,['Model X']
7SAYGDEF5NF553967,NEW YORK,10007,['Model X']
7SAYGDEF5NF544542,NEW YORK,10035,['Model X']
7SAYGDEF5NF539647,NEW YORK,10019,['Model X']
7SAYGDEF5NF523612,NEW YORK,10029,['Model X']
7SAYGDEF5NF506826,NEW YORK,10031,['Model X']
7SAYGDEF5NF467896,NEW YORK,10029,['Model X']
7SAYGDEF5NF462956,NEW YORK,10044,['Model X']
7SAYGDEF5NF456736,NEW YORK,10033,['Model X']
7SAYGDEF5NF446594,NEW YORK,10036,['Model X']
7SAYGDEF5NF438740,NEW YORK,10014,['Model X']
7SAYGDEF5NF400845,NEW YORK,10019,['Model X']
